"species","dataSource","countryCode","stateProvince","year","individualCount","coordinateUncertaintyInMeters","taxonRank","gbifID","ID","decimalLongitude","decimalLatitude"
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4421,-68.3263,46.9128
"Picea rubens","GBIF","CAN",NA,"1988","NA","NA","SPECIES",4512944536,80,-64.371,46.02
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4891,-68.8902,47.0181
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4542,-68.5273,46.9445
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4916,-68.2773,46.8889
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4587,-69.0067,47.0326
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,5014,-68.6423,46.9533
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4844,-68.513,46.9309
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4673,-68.4717,46.9167
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2488,-69.4882,47.1128
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4586,-69.4318,47.107
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4644,-68.9449,47.0051
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2425,-68.4816,46.9145
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2626,-69.2217,47.0556
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2418,-69.0782,47.0219
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4776,-68.8275,46.9721
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2355,-68.555,46.9167
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2137,-68.3924,46.8891
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4944,-69.1384,47.0278
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,3301,-69.0273,47
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4535,-68.5828,46.9167
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2684,-68.305,46.8612
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2668,-67.805,46.75
"Picea rubens","GBIF","CAN",NA,"1954","NA","NA","SPECIES",465857285,170,-63.2942,45.7105
"Picea rubens","GBIF","CAN",NA,"1980","NA","NA","SPECIES",1248732363,66,-70.1411,47.2111
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2153,-69.3328,47.0556
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4455,-69.2378,47.0388
"Picea rubens","GBIF","CAN",NA,"1981","NA","NA","SPECIES",4512944535,81,-64.477,45.991
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2509,-69.4274,47.0697
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2663,-68.8328,46.9445
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2675,-68.7608,46.9354
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2646,-68.7031,46.9194
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2494,-68.4431,46.8713
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2631,-69.1201,46.9906
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4531,-69.0214,46.9749
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4633,-68.0828,46.7778
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2518,-68.055,46.7778
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2276,-69.6085,47.0793
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2150,-68.5666,46.871
